Gross domestic product (GDP) by state (millions of current dollars),,,
Levels ,,,
Bureau of Economic Analysis ,,,
All industry total,,,
Fips,Area,2012,Rank
0,United States,16041264,--
6000,California,2124143,1
48000,Texas,1449520,2
36000,New York,1299460,3
12000,Florida,766374,4
17000,Illinois,709257,5
42000,Pennsylvania,621398,6
39000,Ohio,544888,7
34000,New Jersey,522248,8
51000,Virginia,444387,9
37000,North Carolina,443670,10
13000,Georgia,436670,11
25000,Massachusetts,429841,12
26000,Michigan,414055,13
53000,Washington,390707,14
24000,Maryland,330593,15
18000,Indiana,298797,16
27000,Minnesota,294729,17
47000,Tennessee,279645,18
8000,Colorado,276040,19
55000,Wisconsin,272580,20
4000,Arizona,267188,21
29000,Missouri,265505,22
22000,Louisiana,248850,23
9000,Connecticut,238939,24
41000,Oregon,203836,25
1000,Alabama,187534,26
21000,Kentucky,177342,27
45000,South Carolina,175687,28
40000,Oklahoma,169638,29
19000,Iowa,159293,30
20000,Kansas,139669,31
49000,Utah,127751,32
32000,Nevada,125537,33
5000,Arkansas,111950,34
11000,District of Columbia,110157,--
31000,Nebraska,102617,35
28000,Mississippi,101642,36
35000,New Mexico,87747,37
15000,Hawaii,72307,38
54000,West Virginia,68601,39
33000,New Hampshire,66427,40
10000,Delaware,59788,41
2000,Alaska,58485,42
16000,Idaho,58030,43
23000,Maine,52654,44
44000,Rhode Island,51403,45
38000,North Dakota,49769,46
46000,South Dakota,43291,47
30000,Montana,41499,48
56000,Wyoming,40791,49
50000,Vermont,28333,50
95000,Southeast,3442353,1
98000,Far West,2975015,2
92000,Mideast,2943644,3
93000,Great Lakes,2239578,4
96000,Southwest,1974093,5
94000,Plains,1054874,6
91000,New England,867597,7
97000,Rocky Mountain,544111,8
Legend / Footnotes:,,,
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).,,,
Note-- Per capita real GDP statistics for 1997-2014 reflect Census Bureau midyear population estimates available as of December 2014.,,,
"Last updated: December 10, 2015 - revised statistics for 2007-2014 (estimates in current dollars); 1997-2014 (estimates in chained [2009] dollars)",,,
