Gross domestic product (GDP) by state (millions of current dollars),,,
Levels ,,,
Bureau of Economic Analysis ,,,
All industry total,,,
Fips,Area,2014,Rank
0,United States,17232618,--
6000,California,2305921,1
48000,Texas,1641044,2
36000,New York,1395488,3
12000,Florida,838939,4
17000,Illinois,736285,5
42000,Pennsylvania,658290,6
39000,Ohio,576056,7
34000,New Jersey,551828,8
37000,North Carolina,481876,9
13000,Georgia,474696,10
51000,Virginia,462861,11
25000,Massachusetts,455732,12
26000,Michigan,448243,13
53000,Washington,422877,14
24000,Maryland,346857,15
18000,Indiana,318085,16
27000,Minnesota,317237,17
8000,Colorado,305871,18
47000,Tennessee,297159,19
55000,Wisconsin,289616,20
4000,Arizona,286554,21
29000,Missouri,279835,22
22000,Louisiana,251672,23
9000,Connecticut,250569,24
41000,Oregon,212807,25
1000,Alabama,200414,26
45000,South Carolina,189278,27
21000,Kentucky,187788,28
40000,Oklahoma,183174,29
19000,Iowa,169707,30
20000,Kansas,144407,31
49000,Utah,140031,32
32000,Nevada,135038,33
5000,Arkansas,120035,34
11000,District of Columbia,116378,--
31000,Nebraska,111007,35
28000,Mississippi,104753,36
35000,New Mexico,91885,37
15000,Hawaii,76171,38
54000,West Virginia,74296,39
33000,New Hampshire,70358,40
10000,Delaware,63404,41
16000,Idaho,63235,42
2000,Alaska,56647,43
38000,North Dakota,55978,44
44000,Rhode Island,54492,45
23000,Maine,54324,46
46000,South Dakota,46169,47
30000,Montana,44135,48
56000,Wyoming,43800,49
50000,Vermont,29312,50
95000,Southeast,3683767,1
98000,Far West,3209461,2
92000,Mideast,3132246,3
93000,Great Lakes,2368286,4
96000,Southwest,2202657,5
94000,Plains,1124341,6
91000,New England,914788,7
97000,Rocky Mountain,597073,8
Legend / Footnotes:,,,
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).,,,
Note-- Per capita real GDP statistics for 1997-2014 reflect Census Bureau midyear population estimates available as of December 2014.,,,
"Last updated: December 10, 2015 - revised statistics for 2007-2014 (estimates in current dollars); 1997-2014 (estimates in chained [2009] dollars)",,,
